train_id,true_price,pred_log,pred_dollars
450414,8.0,2.5627,11.970792
406368,24.0,3.161816,22.613436
136022,8.0,2.6523466,13.187292
596088,24.0,3.4973254,32.027
1161685,5.0,2.8318894,15.977508
726217,12.0,2.3777475,9.780593
700762,20.0,2.8367348,16.059969
565641,15.0,3.0281744,19.659483
606113,4.0,2.6787066,13.566242
888245,10.0,3.2376647,24.474163
758037,28.0,3.037757,19.858404
666900,7.0,2.8736277,16.701115
192660,22.0,2.5581455,11.91185
438741,9.0,2.7531981,14.6927395
1301625,14.0,2.7838733,15.181576
1289031,9.0,2.8415766,16.14277
935268,15.0,3.1280992,21.830542
40069,15.0,3.0515678,20.148476
1212736,13.0,3.0965447,21.121384
1259504,9.0,2.729363,14.323123
204439,7.0,3.3398237,27.214153
21307,15.0,2.8686743,16.613651
1263238,64.0,2.738829,14.468859
486547,3.0,2.7404,14.493182
1146136,11.0,3.1331344,21.945787
689892,15.0,2.9375365,17.869305
239943,11.0,2.7602751,14.804191
24198,12.0,3.2397542,24.527447
1331827,3.0,2.9600687,18.299297
31431,59.0,3.246186,24.692163
33267,11.0,2.674742,13.508606
612420,10.0,2.81094,15.62554
687556,7.0,2.9019463,17.209553
1432926,7.0,2.9381075,17.880081
446439,9.0,3.1167893,21.573786
318478,13.0,2.7853699,15.205811
1345605,40.0,2.7951221,15.364628
696645,14.0,2.8391287,16.100859
226113,12.0,2.737719,14.4517
618872,10.0,2.9625123,18.346514
213471,61.0,3.502583,32.2011
339251,8.0,2.6566782,13.2488785
556991,8.0,3.2932925,25.93139
256083,28.0,3.1369467,22.03343
13850,54.0,3.1901042,23.29096
1267837,12.0,3.2746181,25.43313
1478203,3.0,2.4276614,10.33235
824661,86.0,2.516798,11.3888645
1015391,86.0,3.3822978,28.438335
96931,20.0,3.3749838,28.22381
130414,10.0,2.9054527,17.273514
39892,68.0,3.1568165,22.495678
1184433,65.0,3.292207,25.902172
719537,46.0,3.3193035,26.641092
1392054,47.0,3.1975584,23.472704
1305496,12.0,2.6552632,13.22873
33377,11.0,2.8641372,16.533918
471528,20.0,2.792965,15.329364
1390546,22.0,2.9482365,18.072289
561624,61.0,2.9945576,18.97652
1435811,12.0,2.6000767,12.46477
967473,10.0,2.9215665,17.570354
85931,10.0,2.657394,13.259081
330625,15.0,2.6285193,12.853242
597746,45.0,3.1670513,22.737387
381209,30.0,2.8857453,16.916916
786738,26.0,2.9883482,18.852863
1269057,55.0,3.3753376,28.234152
568649,9.0,2.4796762,10.937399
237657,90.0,3.239232,24.51412
1146932,14.0,2.8032598,15.498342
387616,11.0,3.1911657,23.316757
132226,6.0,2.835503,16.03897
999302,8.0,2.5973315,12.427858
81978,16.0,3.0193534,19.478046
1337214,16.0,2.8273501,15.900618
1044563,10.0,2.82907,15.92971
418818,13.0,2.6167803,12.691569
60207,22.0,2.5712585,12.082278
420585,20.0,2.9774292,18.637268
9919,16.0,2.9939857,18.965097
1365980,84.0,3.3541045,27.619965
1269923,16.0,2.9466257,18.041594
1154977,27.0,3.199097,23.510386
1329002,58.0,3.431748,29.93066
1110242,8.0,2.8570185,16.409542
57082,23.0,2.7301445,14.335103
1150927,100.0,2.9062715,17.288483
753809,6.0,2.7625537,14.840242
251018,25.0,3.3813715,28.411081
306925,18.0,3.2323332,24.338707
1318890,10.0,2.5192943,11.419828
805570,3.0,2.2786927,8.763908
28928,56.0,3.7162375,40.109432
480685,17.0,2.9482365,18.072289
390981,36.0,3.3829236,28.456766
973800,38.0,3.3706698,28.098011
467920,46.0,3.272003,25.364092
788338,18.0,3.0476563,20.065914
537031,8.0,2.7193067,14.169802
1424929,60.0,3.1833775,23.128109
1180351,18.0,3.1639323,22.663465
358045,13.0,2.8748517,16.722795
581048,16.0,2.6507275,13.16434
107798,16.0,3.0070322,19.22728
702700,5.0,2.6076915,12.567694
424909,33.0,3.223096,24.105724
1380786,146.0,3.0572,20.267923
1164490,6.0,2.5827842,12.2339325
1290472,35.0,2.8802795,16.819254
1172939,7.0,2.8251154,15.862891
367746,9.0,2.4303687,10.3630705
1161933,54.0,3.0315857,19.730078
1040174,15.0,3.0065584,19.2177
524012,27.0,3.1407287,22.120708
1474453,32.0,2.7438831,14.54724
409278,13.0,2.9450777,18.012138
1338509,10.0,3.2234468,24.114536
63872,7.0,2.5620182,11.96195
330427,36.0,2.8749287,16.724161
1112525,8.0,2.3509626,9.495668
56536,8.0,2.8228848,15.825318
175066,44.0,3.2502286,24.796238
865276,10.0,2.8804846,16.822908
453817,49.0,3.1228287,21.710531
999370,6.0,2.6548285,13.222548
1220443,7.0,3.2591076,25.0263
346691,19.0,2.9918988,18.923477
55726,17.0,3.0289092,19.67467
1400135,20.0,3.1295986,21.8648
718601,12.0,2.9133239,17.417915
1032956,14.0,2.9708607,18.508703
1361158,8.0,2.9646049,18.387041
826677,26.0,3.1136575,21.503199
455170,3.0,2.3456063,9.439601
1001302,32.0,3.6005993,35.620174
1273986,11.0,3.0072508,19.231703
597757,3.0,2.4127798,10.164954
1152447,12.0,2.7956877,15.373885
365296,45.0,3.371552,28.123692
367540,15.0,2.5754385,12.137076
277076,26.0,2.9009626,17.191648
234819,17.0,2.9636288,18.368126
748173,34.0,2.9776149,18.640915
703312,19.0,3.0379443,19.862312
725611,14.0,3.0334718,19.769215
587988,14.0,3.3434138,27.315626
1126691,5.0,3.1952815,23.417046
1286885,7.0,3.1114821,21.4543
702868,7.0,2.8696518,16.630878
223794,6.0,2.9490037,18.086927
677299,15.0,3.4466624,30.395433
277849,13.0,2.3909035,9.923359
171711,3.0,2.3863668,9.873916
557378,66.0,3.0180342,19.45105
442525,10.0,2.8703735,16.643606
642428,10.0,2.923838,17.612583
519742,10.0,2.883972,16.88517
586419,8.0,3.0585794,20.297281
1110868,5.0,2.915892,17.465275
100467,5.0,2.695201,13.808494
1211254,11.0,2.729094,14.319002
387452,116.0,3.367092,27.994087
141221,954.0,3.5254135,32.967815
785073,55.0,2.74023,14.490549
1368325,22.0,2.5154085,11.371662
182790,29.0,3.054751,20.2159
1431038,17.0,3.4651194,30.980276
1284298,16.0,3.124926,21.758213
753431,50.0,3.2199106,24.025883
759500,20.0,2.5838199,12.247646
1003338,13.0,2.6887584,13.713396
1065699,47.0,3.2084708,23.741224
482131,8.0,2.7580833,14.769589
770063,30.0,2.794426,15.353239
500731,14.0,2.9150605,17.449928
343001,196.0,3.509298,32.424797
935798,66.0,3.034752,19.795818
1024313,8.0,2.6610794,13.3117285
150392,6.0,3.2472572,24.7197
1436386,6.0,2.428051,10.336765
1157256,9.0,2.3561306,9.55005
1189309,7.0,2.7964492,15.386358
239935,21.0,3.118904,21.621576
130262,36.0,3.0825706,20.814405
858099,12.0,3.497324,32.026955
75160,9.0,2.5003157,11.18634
447217,10.0,3.1529112,22.404099
625794,17.0,3.2710185,25.338152
314584,7.0,2.705134,13.95632
42496,66.0,3.4195795,29.556564
1067853,13.0,2.7509832,14.65802
554825,40.0,3.32585,26.822638
810929,35.0,2.6906252,13.740889
683496,12.0,2.6399174,13.012046
390119,12.0,2.7990513,15.429053
1189734,9.0,2.8665094,16.575562
115139,10.0,2.9022045,17.214254
550335,56.0,3.353542,27.603872
6881,69.0,3.3141088,26.497879
