train_id,true_price,pred_log,pred_dollars
450414,8.0,2.9311595,17.749357
406368,24.0,3.141738,22.144054
136022,8.0,2.5929775,12.36952
596088,24.0,3.1660206,22.712934
1161685,5.0,2.8433585,16.173346
726217,12.0,2.2654357,8.635322
700762,20.0,2.8557873,16.38812
565641,15.0,2.8251777,15.863941
606113,4.0,2.6537232,13.206836
888245,10.0,3.1684203,22.769905
758037,28.0,2.9238887,17.61353
666900,7.0,2.703177,13.927079
192660,22.0,2.5783844,12.175834
438741,9.0,2.7738874,15.020792
1301625,14.0,2.7826655,15.162044
1289031,9.0,2.7561774,14.739562
935268,15.0,3.172811,22.874502
40069,15.0,2.9721222,18.533329
1212736,13.0,2.9392037,17.900791
1259504,9.0,2.8274357,15.902063
204439,7.0,3.1803508,23.055191
21307,15.0,2.771573,14.983758
1263238,64.0,2.7250624,14.257365
486547,3.0,2.8655262,16.55829
1146136,11.0,3.03824,19.86848
689892,15.0,3.0174935,19.439995
239943,11.0,2.7862163,15.219533
24198,12.0,3.2008464,23.553305
1331827,3.0,2.853887,16.355112
31431,59.0,3.3510966,27.534008
33267,11.0,2.661086,13.311825
612420,10.0,2.8109415,15.625563
687556,7.0,2.9038553,17.244349
1432926,7.0,2.6345377,12.936868
446439,9.0,3.004846,19.18311
318478,13.0,2.671197,13.457263
1345605,40.0,2.9519486,18.14322
696645,14.0,2.8541498,16.359673
226113,12.0,2.7535632,14.698468
618872,10.0,3.2142673,23.885052
213471,61.0,3.2623243,25.110155
339251,8.0,2.7043486,13.944578
556991,8.0,3.1652348,22.694307
256083,28.0,2.961397,18.32495
13850,54.0,3.2994637,26.098104
1267837,12.0,3.1946292,23.401123
1478203,3.0,2.5315208,11.572613
824661,86.0,2.898078,17.139248
1015391,86.0,3.4127977,29.350035
96931,20.0,3.2548637,24.916082
130414,10.0,3.0532012,20.183046
39892,68.0,3.0378077,19.859463
1184433,65.0,3.2538404,24.889576
719537,46.0,2.7469976,14.5957365
1392054,47.0,3.1681705,22.763968
1305496,12.0,2.8554335,16.38197
33377,11.0,2.9765363,18.619741
471528,20.0,2.7968974,15.393704
1390546,22.0,2.8889885,16.975119
561624,61.0,3.0553856,20.22937
1435811,12.0,2.8509028,16.303396
967473,10.0,2.6390486,12.999878
85931,10.0,2.9773715,18.636135
330625,15.0,2.5479612,11.78102
597746,45.0,3.1742,22.907688
381209,30.0,2.9021287,17.212873
786738,26.0,2.8205729,15.786464
1269057,55.0,3.2978344,26.053988
568649,9.0,2.8314722,15.970426
237657,90.0,3.4548175,30.652514
1146932,14.0,3.0589926,20.306084
387616,11.0,3.100969,21.219473
132226,6.0,3.0631196,20.394196
999302,8.0,2.733453,14.385923
81978,16.0,3.0913284,21.00629
1337214,16.0,2.8453445,16.207487
