category_name,count
Beauty/Fragrance/Women,5000
Beauty/Skin Care/Face,5000
Men/Tops/T-shirts,5000
Electronics/Video Games & Consoles/Games,5000
"Women/Dresses/Above Knee, Mini",5000
Women/Women's Handbags/Shoulder Bag,5000
"Women/Athletic Apparel/Pants, Tights, Leggings",5000
Women/Shoes/Boots,5000
Women/Underwear/Bras,5000
"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",5000
Women/Jewelry/Necklaces,5000
Women/Tops & Blouses/T-Shirts,5000
Kids/Toys/Dolls & Accessories,13957 
Men/Shoes/Athletic,14257
Home/Home Décor/Home Décor Accents,13004
Kids/Toys/Action Figures & Statues,12524
Electronics/Media/DVD,7383
Other/Daily & Travel items/Personal Care,5556
Vintage & Collectibles/Toy/Action Figure,5354
Home/Kitchen & Dining/Dining & Entertaining,5130
Other/Office supplies/Shipping Supplies,4883
Handmade/Paper Goods/Sticker,4111
Vintage & Collectibles/Trading Cards/Sports,2815

Other/Other/Other,7933

Beauty/Makeup/Lips,5000 X
Beauty/Makeup/Makeup Palettes,5000 X
"Women/Tops & Blouses/Tank, Cami",5000 X
Women/Tops & Blouses/Blouse,5000 X
Beauty/Makeup/Eyes,5000 X
Beauty/Makeup/Face,5000 X
Women/Athletic Apparel/Shirts & Tops,5000 X
Women/Athletic Apparel/Shorts,5000 X
